['neil e. todreas']
['seymour a. papert']
['david p. hoult']
['ernst g. frankel']
['sigurdur helgason']
['walter wrigley']
['james a. fay']
['augustus r. rogowski']
['jay w. forrester']
['douglas p. adams']
['imre halasz']
['bertram kostant']
['stanley backer']
['nishan bichajian']
['eduardo f. catalano']
['eduardo f. catalano']
['robert c. reid and charles m. mohr']
['j. p. den hartog']
"['c. s. draper, r. c. seamans, jr']"
['frederick j. adams']
['frederick j. adams']
['']
['frederick j. adams']
['edward s. taylor']
['egon orowan']
"['john t. norton, carl wagner']"
['burnham kelly']
['']
['laurence b. anderson']
['richard s. bear']
['l. b. anderson']
['richard c. lord']
['uno ingard']
['']
['d.n. wormley']
['woodie flowers']
['david n. wormley']
['d.e. whitney']
['k. hoffman']
['i. halasz']
['eduardo catalano']
['stanford anderson']
['edward allen']
['d. b. broughton']
['john chipman']
['prof. anderson']
['arthur t. ippen']
['john a. hrones']
['raphael salem']
['']
