year_gt
2014
2015
2019
2012
2019
2010
2018
2015
2010
2018
2016
2018
2016
2015
2019
2014
2012
2015
2017
2013
2017
2012
2015
2014
2019
2014
2017
2017
2018
2019
2017
2008
2015
2011
2009
2016
2011
2013
2007
2013
2015
2011
2013
2010
2010
2013
2008
2013
2009
2016
2010
2013
1954
2010
2010
2010
1961
2012
2012
2012
2012
1981
2013
1994
2014
2014
2014
2015
1955
2016
1953
1954
1961
1964
1954
1982
1973
1973
1987
1988
1992
1993
1997
1998
1998
2017
2018
2018
2008
2012
2014
2003
2003
2005
2007
2007
2009
2010
2010
2010
2012
2012
2013
2014
2015
2019
2019
2019
2020
2020
2016
2013
2014
2015
2011
2013
1991
2011
2016
2016
2016
2010
2012
2019
2011
2015
2007
2009
2016
2019
2010
2016
2010
2014
2011
2009
2011
2020
1977
1976
1983
2010
2013
2013
2013
1998
1996
2013
1973
1978
1978
1969
1966
2017
2013
2013
2014
2015
2016
2017
2017
2017
2018
2018
2020
2013
2012
2011
2011
2011
2011
2012
2012
2013
2014
2018
2018
2010
2012
2012
2014
2010
2009
2018
2018
2018
2018
2018
2019
2019
1967
1973
1958
1973
1964
1948
1971
1962
1983
1964
1974
2015
2016
2013
2011
2012
2010
2006
2012
2003
2003
2010
2011
2010
2015
2014
2014
2006
2016
2018
2018
2018
2017
2017
2019
1914
2015
2017
2015
2011
1930
1903
2015
2013
2011
2011
2013
2014
2011
2014
2018
2017
2010
1988
1985
1998
2014
2018
2009
2012
2017
2005
1965
2007
1960
2002
1998
2012
2012
2013
1947
1946
2016
2016
2018
2010
2007
2017
1995
2013
1995
1993
2013
1983
1981
1985
1975
1980
1972
1973
1979
1963
2018
1967
1988
1984
1994
1991
1996
1996
1986
1987
1978
1975
2012
2014
2018
1965
1968
1968
1975
2014
2015
1989
4-1-2008
2013
2002
2018
1995
2020
2019
2018
2020
2020
2019
2019
1970
2010
2014
2013
2019
2019
2020
1994
1994
1993
2009
1978
2009
