year_space_id
2209
3735
4255
4485
7131
11193
11673
12408
12791
15341
16204
16994
18083
18791
19758
19969
20430
22242
22427
23272
25543
27435
32402
33886
34296
38616
94539
98458
107248
108651
108776
112505
112616
112701
114680
117392
119727
150100
151566
155440
165875
165998
168406
168441
172062
178443
180558
182140
182848
185507
186532
188481
189501
193268
193918
197871
198659
200129
201123
233297
233512
234417
235221
284029
284046
296926
354891
355580
355986
356725
357395
357408
357710
359339
360105
361513
361555
361560
361819
362072
368825
373181
374337
385013
387515
387708
388298
417261
422555
424172
425407
430662
431253
431640
431871
452015
474089
476225
557804
558163
