0,1
,
russell e. wilson,advisor
maurice j. sinnott,advisor
william p. alston,advisor
hans h. brintzinger,advisor
professor e. wm. heinrich,advisor
herbert h. paper,advisor
rane l. curl tek,advisor
jay l. robinson,advisor
harvey e. brazer,advisor
samuel j. eldersveld,advisor
